root,business_slug,name,url
accommodation,guest-house,Guest House,https://www.finelib.com/accommodation/guest-house
accommodation,hotels,Hotels,https://www.finelib.com/accommodation/hotels
accommodation,motels,Motels,https://www.finelib.com/accommodation/motels
agriculture,-agricultural-chemicals,Agricultural Chemicals,https://www.finelib.com/agriculture/-agricultural-chemicals
agriculture,-agricultural-equipment,Agricultural Equipment,https://www.finelib.com/agriculture/-agricultural-equipment
agriculture,-agricultural-finance,Agricultural Finance,https://www.finelib.com/agriculture/-agricultural-finance
agriculture,-agricultural-products,Agricultural Products,https://www.finelib.com/agriculture/-agricultural-products
agriculture,-agro-feeds,Agro Feeds,https://www.finelib.com/agriculture/-agro-feeds
agriculture,-flour-mills,Flour Mills,https://www.finelib.com/agriculture/-flour-mills
agriculture,-livestocks,Livestocks,https://www.finelib.com/agriculture/-livestocks
agriculture,-vegetable-oils,Vegetable Oils,https://www.finelib.com/agriculture/-vegetable-oils
agriculture,agribusiness,Agribusiness,https://www.finelib.com/agriculture/agribusiness
agriculture,agric-co_operatives,Agric Co-operatives,https://www.finelib.com/agriculture/agric-co_operatives
agriculture,agricultural-commodity,Agricultural Commodity,https://www.finelib.com/agriculture/agricultural-commodity
agriculture,agricultural-consultants,Agricultural Consultants,https://www.finelib.com/agriculture/agricultural-consultants
agriculture,agricultural-development,Agricultural Development,https://www.finelib.com/agriculture/agricultural-development
agriculture,agricultural-extension,Agricultural Extension,https://www.finelib.com/agriculture/agricultural-extension
agriculture,agricultural-journals,Agricultural Journals,https://www.finelib.com/agriculture/agricultural-journals
agriculture,agricultural-organisations,Agricultural Organisations,https://www.finelib.com/agriculture/agricultural-organisations
agriculture,agricultural-promotion-boards,Agricultural Promotion Boards,https://www.finelib.com/agriculture/agricultural-promotion-boards
agriculture,agricultural-research,Agricultural Research,https://www.finelib.com/agriculture/agricultural-research
agriculture,agricultural-supplies,Agricultural Supplies,https://www.finelib.com/agriculture/agricultural-supplies
agriculture,agricultural-technology,Agricultural Technology,https://www.finelib.com/agriculture/agricultural-technology
agriculture,agricultural-training,Agricultural Training,https://www.finelib.com/agriculture/agricultural-training
agriculture,agriculture-empowerment,Agriculture Empowerment,https://www.finelib.com/agriculture/agriculture-empowerment
agriculture,agritourism,Agritourism,https://www.finelib.com/agriculture/agritourism
agriculture,aquaculture,Aquaculture,https://www.finelib.com/agriculture/aquaculture
agriculture,crops-and-seeds,Crops and Seeds,https://www.finelib.com/agriculture/crops-and-seeds
agriculture,farm-equipment,Farm Equipment,https://www.finelib.com/agriculture/farm-equipment
agriculture,farm-tractors,Farm Tractors,https://www.finelib.com/agriculture/farm-tractors
agriculture,farms,Farms,https://www.finelib.com/agriculture/farms
agriculture,fertilizer-services,Fertilizer Services,https://www.finelib.com/agriculture/fertilizer-services
agriculture,fish-farming,Fish Farming,https://www.finelib.com/agriculture/fish-farming
agriculture,forestry,Forestry,https://www.finelib.com/agriculture/forestry
