parent,subcategory_slug,name,url
art-business,body-art,Body Art,https://www.finelib.com/business/art-business/body-art
art-business,cartoonists,Cartoonists,https://www.finelib.com/business/art-business/cartoonists
art-business,catalogue-design,Catalogue Design,https://www.finelib.com/business/art-business/catalogue-design
art-business,copywriters,Copywriters,https://www.finelib.com/business/art-business/copywriters
art-business,design-agencies,Design Agencies,https://www.finelib.com/business/art-business/design-agencies
art-business,photography,Photography,https://www.finelib.com/business/art-business/photography
automotive,car-battery,Car Battery,https://www.finelib.com/business/automotive/car-battery
automotive,car-dealers,Car Dealers,https://www.finelib.com/business/automotive/car-dealers
automotive,car-rentals,Car Rentals,https://www.finelib.com/business/automotive/car-rentals
automotive,car-wash,Car Wash,https://www.finelib.com/business/automotive/car-wash
automotive,driving-schools,Driving Schools,https://www.finelib.com/business/automotive/driving-schools
automotive,motor-cycle,Motor Cycle,https://www.finelib.com/business/automotive/motor-cycle
automotive,parts-and-supplies,Parts and Supplies,https://www.finelib.com/business/automotive/parts-and-supplies
automotive,tyres-and-tubes,Tyres and Tubes,https://www.finelib.com/business/automotive/tyres-and-tubes
automotive,used-cars,Used Cars,https://www.finelib.com/business/automotive/used-cars
beauty-care,barbing-salons,Barbing Salons,https://www.finelib.com/business/beauty-care/barbing-salons
beauty-care,bath-supplies,Bath Supplies,https://www.finelib.com/business/beauty-care/bath-supplies
beauty-care,beauty-centres,Beauty Centres,https://www.finelib.com/business/beauty-care/beauty-centres
beauty-care,beauty-schools,Beauty Schools,https://www.finelib.com/business/beauty-care/beauty-schools
beauty-care,breast-care,Breast Care,https://www.finelib.com/business/beauty-care/breast-care
beauty-care,cosmetics-stores,Cosmetics Stores,https://www.finelib.com/business/beauty-care/cosmetics-stores
beauty-care,eyelash-extensions,Eyelash Extensions,https://www.finelib.com/business/beauty-care/eyelash-extensions
beauty-care,facial-care,Facial Care,https://www.finelib.com/business/beauty-care/facial-care
beauty-care,hair-dressing-salon,Hair Dressing Salon,https://www.finelib.com/business/beauty-care/hair-dressing-salon
beauty-care,hair-supplies,Hair Supplies,https://www.finelib.com/business/beauty-care/hair-supplies
beauty-care,makeup-supplies,Makeup Supplies,https://www.finelib.com/business/beauty-care/makeup-supplies
beauty-care,manicure-and-pedicure,Manicure and Pedicure,https://www.finelib.com/business/beauty-care/manicure-and-pedicure
beauty-care,massage,Massage,https://www.finelib.com/business/beauty-care/massage
beauty-care,men-care-and-grooming-supplies,Men Care and Grooming Supplies,https://www.finelib.com/business/beauty-care/men-care-and-grooming-supplies
beauty-care,nail-salons,Nail Salons,https://www.finelib.com/business/beauty-care/nail-salons
beauty-care,natural-hair-care,Natural Hair Care,https://www.finelib.com/business/beauty-care/natural-hair-care
beauty-care,perfumes-and-fragrance,Perfumes and Fragrance,https://www.finelib.com/business/beauty-care/perfumes-and-fragrance
beauty-care,salon-equipment,Salon Equipment,https://www.finelib.com/business/beauty-care/salon-equipment
beauty-care,skin-care-products,Skin Care Products,https://www.finelib.com/business/beauty-care/skin-care-products
beauty-care,spa,Spa,https://www.finelib.com/business/beauty-care/spa
beauty-care,waxing,Waxing,https://www.finelib.com/business/beauty-care/waxing
beauty-care,weaveon-and-attachments,Weaveon and Attachments,https://www.finelib.com/business/beauty-care/weaveon-and-attachments
business-services,business-advisors,Business Advisors,https://www.finelib.com/business/business-services/business-advisors
business-services,business-centers,Business Centers,https://www.finelib.com/business/business-services/business-centers
business-services,business-consultants,Business Consultants,https://www.finelib.com/business/business-services/business-consultants
business-services,business-developers,Business Developers,https://www.finelib.com/business/business-services/business-developers
business-services,business-funding-services,Business Funding Services,https://www.finelib.com/business/business-services/business-funding-services
business-services,business-idea-resources,Business Idea Resources,https://www.finelib.com/business/business-services/business-idea-resources
business-services,business-loan-providers,Business Loan Providers,https://www.finelib.com/business/business-services/business-loan-providers
business-services,business-management,Business Management,https://www.finelib.com/business/business-services/business-management
business-services,business-networking-services,Business Networking Services,https://www.finelib.com/business/business-services/business-networking-services
business-services,business-planning-services,Business Planning Services,https://www.finelib.com/business/business-services/business-planning-services
business-services,business-sales-agents,Business Sales Agents,https://www.finelib.com/business/business-services/business-sales-agents
business-services,business-sales-services,Business Sales Services,https://www.finelib.com/business/business-services/business-sales-services
business-services,business-support-services,Business Support Services,https://www.finelib.com/business/business-services/business-support-services
business-services,company-formation-experts,Company Formation Experts,https://www.finelib.com/business/business-services/company-formation-experts
business-services,copying,Copying,https://www.finelib.com/business/business-services/copying
business-services,corporate-entertainment,Corporate Entertainment,https://www.finelib.com/business/business-services/corporate-entertainment
business-services,corporate-research-companies,Corporate Research Companies,https://www.finelib.com/business/business-services/corporate-research-companies
business-services,corporate-training,Corporate Training,https://www.finelib.com/business/business-services/corporate-training
business-services,customer-survey-providers,Customer Survey Providers,https://www.finelib.com/business/business-services/customer-survey-providers
business-services,data-services,Data Services,https://www.finelib.com/business/business-services/data-services
business-services,entrepreneurs,Entrepreneurs,https://www.finelib.com/business/business-services/entrepreneurs
business-services,franchise-opportunities,Franchise Opportunities,https://www.finelib.com/business/business-services/franchise-opportunities
business-services,hire-purchases,Hire Purchases,https://www.finelib.com/business/business-services/hire-purchases
business-services,language-translation-services,Language Translation Services,https://www.finelib.com/business/business-services/language-translation-services
business-services,merchandising-suppliers,Merchandising Suppliers,https://www.finelib.com/business/business-services/merchandising-suppliers
business-services,office-services-companies,Office Services Companies,https://www.finelib.com/business/business-services/office-services-companies
business-services,printing-services,Printing Services,https://www.finelib.com/business/business-services/printing-services
business-services,secretarial-services,Secretarial Services,https://www.finelib.com/business/business-services/secretarial-services
business-services,staff-training-companies,Staff Training Companies,https://www.finelib.com/business/business-services/staff-training-companies
business-services,stamping-and-engraving,Stamping and Engraving,https://www.finelib.com/business/business-services/stamping-and-engraving
business-services,team-building,Team Building,https://www.finelib.com/business/business-services/team-building
business-services,tender-services,Tender Services,https://www.finelib.com/business/business-services/tender-services
chemical-service,chemical-manufacturers,Chemical Manufacturers,https://www.finelib.com/business/chemical-service/chemical-manufacturers
chemical-service,chemical-suppliers,Chemical Suppliers,https://www.finelib.com/business/chemical-service/chemical-suppliers
chemical-service,petrochemicals,Petrochemicals,https://www.finelib.com/business/chemical-service/petrochemicals
cleaning-services,cleaning-equipment,Cleaning Equipment,https://www.finelib.com/business/cleaning-services/cleaning-equipment
